"sim","score_beta0","score_beta1","score_beta2","score_conv_msg","score_data_resampled","tpr","fpr"
1,-1.80303732014418,2.05272588366818,-0.128947878829184,"Converged",FALSE,0.5,0.5
2,-1.6195202515691,1.49623460035401,-0.156505171190773,"Converged",FALSE,0.5,0.5
3,-1.0647868112882,-0.738237161687911,-0.0777783339788644,"Converged",FALSE,0.5,0.5
4,-1.76138067385365,1.92144245266238,-0.120403606037302,"Converged",FALSE,0.5,0.5
5,-1.35553446487126,-0.592251157021471,-0.0636153603757338,"Converged",FALSE,0.5,0.5
6,-2.40814008757648,2.72610624972448,-0.0537088278368698,"Converged",FALSE,0.5,0.5
7,-2.15128027900687,2.12213369271814,-0.113115875841676,"Converged",FALSE,0.5,0.5
8,-2.01110908925934,2.90015185638672,-0.161589208791792,"Converged",FALSE,0.5,0.5
9,-3.39260183660408,5.33252855546312,-0.0529298782201378,"Converged",FALSE,0.5,0.5
10,-1.68860997794019,1.80427943358506,-0.129034422342586,"Converged",FALSE,0.5,0.5
11,NA,NA,NA,"MAX_ITER reached",FALSE,0.5,0.5
12,-3.00575296016676,4.88867779923713,-0.0620865561048422,"Converged",FALSE,0.5,0.5
13,-1.76617806583211,0.816110088811506,-0.0665166705652858,"Converged",FALSE,0.5,0.5
14,-3.42112934075212,7.08401632589852,-0.104818871887572,"Converged",FALSE,0.5,0.5
15,-2.29159398466662,3.26879929844386,-0.109427039646494,"Converged",FALSE,0.5,0.5
16,-1.54175136698039,-0.200740916832102,-0.040935490450351,"Converged",FALSE,0.5,0.5
17,-1.91961489404818,2.46598600025852,-0.116817333025309,"Converged",FALSE,0.5,0.5
18,-3.09756606397839,5.07525326838195,-0.0547080109093683,"Converged",FALSE,0.5,0.5
19,-1.88615755437887,1.59614379723506,-0.108604176629703,"Converged",FALSE,0.5,0.5
20,-2.33847157996346,4.33063827093435,-0.146939529510808,"Converged",FALSE,0.5,0.5
21,-2.39438337451366,3.39605795779112,-0.120008658661836,"Converged",FALSE,0.5,0.5
22,-2.42908519736739,3.29119848880775,-0.0752705262221136,"Converged",FALSE,0.5,0.5
23,-3.20609969473028,4.6403353249291,-0.0270271481175782,"Converged",FALSE,0.5,0.5
24,-1.75289389106484,1.65036110187356,-0.0896117829950716,"Converged",FALSE,0.5,0.5
25,-2.46659834761994,3.2909990442628,-0.0816120381795886,"Converged",FALSE,0.5,0.5
26,-1.96020341857856,2.75363138491477,-0.155747757441487,"Converged",FALSE,0.5,0.5
27,-2.30096699224711,3.49733771324646,-0.112510891964997,"Converged",FALSE,0.5,0.5
28,-1.63352455675843,0.772515719493227,-0.0991547234101967,"Converged",FALSE,0.5,0.5
29,-2.0030859954886,2.8803946241888,-0.113362903615967,"Converged",FALSE,0.5,0.5
30,-2.94384605499852,4.00978672187358,-0.060453961715723,"Converged",FALSE,0.5,0.5
31,-2.44569732658771,3.66673794284955,-0.0823267015314751,"Converged",FALSE,0.5,0.5
32,-2.48585244827501,3.86435053900266,-0.085609663183716,"Converged",FALSE,0.5,0.5
33,NA,NA,NA,"MAX_ITER reached",FALSE,0.5,0.5
34,-0.844010932158463,-1.74316407257068,-0.0856591373932409,"Converged",TRUE,0.5,0.5
35,-1.21353650728957,0.802325233847184,-0.144973120418143,"Converged",FALSE,0.5,0.5
36,-3.36538986284947,6.3581008294811,-0.069373915822759,"Converged",FALSE,0.5,0.5
37,-1.8585501862823,1.10437442658984,-0.0693015513670826,"Converged",FALSE,0.5,0.5
38,-2.19778765043428,3.26184741593634,-0.122410817951345,"Converged",FALSE,0.5,0.5
39,-3.36634015428999,6.90855635775077,-0.110999378432913,"Converged",FALSE,0.5,0.5
40,NA,NA,NA,"MAX_ITER reached",FALSE,0.5,0.5
41,-1.62843028894997,0.085482088817587,-0.0865030086976687,"Converged",FALSE,0.5,0.5
42,-1.2188442937313,0.0467741288757851,-0.147828716323543,"Converged",TRUE,0.5,0.5
43,-1.85487306291346,1.85504328272443,-0.112355969258593,"Converged",FALSE,0.5,0.5
44,-1.97263738628447,2.13917928351113,-0.157359146238151,"Converged",FALSE,0.5,0.5
45,-2.03733450936907,2.62915313229535,-0.0942123782822217,"Converged",FALSE,0.5,0.5
46,-2.04840137245648,2.74735472607971,-0.120232739705181,"Converged",FALSE,0.5,0.5
47,-1.86428266788349,0.926370852248092,-0.0171862532585473,"Converged",FALSE,0.5,0.5
48,-1.92399138714684,2.46428320636056,-0.138619377926481,"Converged",TRUE,0.5,0.5
49,-2.25644155278377,1.95535884082229,-0.041259046528656,"Converged",FALSE,0.5,0.5
50,-2.68708837507728,3.9250234234628,-0.101560411864342,"Converged",FALSE,0.5,0.5
51,-1.84441771293057,1.96331581475844,-0.147325273663382,"Converged",FALSE,0.5,0.5
52,-1.35748664863578,0.129236272450513,-0.096961485684897,"Converged",FALSE,0.5,0.5
53,-1.70416204115401,0.286210805409596,-0.0233397412046987,"Converged",FALSE,0.5,0.5
54,-0.560647146133601,-0.839035512964254,-0.227608368238147,"Converged",FALSE,0.5,0.5
